Membership No  Date Joined  Active  
    56351      2019-1-1     yes   
    12523      2019-5-21    no    
    91605      2018-2-13    yes   
    93658      2019-2-13    no    
    46841      2015-10-22   no    
    67932      2017-8-21    no    
    59087      2016-10-21   no    
    32053      2018-10-16   no    
    88529      2018-6-25    no    
    21156      2019-10-16   no    
    31760      2020-3-8     no    
    16069      2016-2-8     no    
    78299      2018-11-24   yes   
    61343      2015-12-1    yes   
    74759      2019-6-25    yes   
    17348      2020-2-9     yes   
    98043      2020-9-9     yes   
    90248      2020-10-7    yes   
    83400      2017-11-9    yes   
    45523      2019-8-11    no    
